	ASGS	nosheep	nobusi	T1	T2	T4	P1	P2	P3
1	101011001	80543.68	41.43	13.87	12.82	5.13	656.69	75.27	37.99
2	101011002	2276499.84	1440.46	13.37	12.77	5.10	757.34	89.25	41.60
3	101011003	362477.16	127.17	14.39	12.98	5.63	680.37	71.09	43.10
4	101011004	1879937.76	986.48	14.12	12.78	5.53	714.26	75.19	44.72
5	101011005	315006.54	222.14	15.10	14.34	5.86	619.88	64.52	39.07
6	101011006	2279051.12	1019.68	15.18	14.22	5.77	627.11	68.38	38.71
7	101021007	96838.38	203.18	12.77	12.41	4.82	855.20	108.32	43.50
8	101021008	184.86	2.34	13.71	13.52	5.45	627.51	75.46	35.50
9	101021009	1400.8	2.34	13.78	13.50	5.48	624.68	75.52	35.76
10	101021011	305084.41	223.11	11.63	12.57	5.10	781.90	92.67	47.61
11	101021012	4479.76	2.26	13.41	13.34	5.42	643.35	75.92	35.92
12	101031013	646368.68	339.51	11.21	12.96	4.84	654.76	82.56	36.21
13	101031014	141893.82	83.92	11.60	14.06	5.11	524.90	66.90	25.65
14	101031015	631297.4	368.26	10.61	12.92	4.98	732.00	84.56	40.82
15	101031016	432754.58	235.25	9.26	12.09	4.96	982.42	107.71	54.33
16	101041019	5077.47	16.05	15.54	11.23	3.96	860.11	115.96	29.60
17	101041020	56856.16	206.06	15.16	9.69	3.61	864.08	105.98	40.39
18	101041022	1599.9	6.76	14.46	11.86	4.27	933.79	132.16	38.26
19	101041024	2111.18	15.96	15.62	10.49	3.78	1043.15	139.41	42.59
20	101041025	45.44	4.54	15.46	10.10	3.65	827.27	104.57	32.80
21	101041026	2167.9	17.82	16.16	9.74	3.47	1037.94	137.75	40.07
22	101041027	1017.04	20.84	15.83	9.49	3.44	1022.75	134.20	39.85
23	102011030	43.66	4.76	17.12	10.41	3.89	1204.34	163.03	54.83
24	102011043	2364.26	2.32	18.00	9.87	3.74	1281.84	164.20	61.76
25	102021047	14.52	2.9	18.10	9.24	3.57	1305.00	167.34	60.97
26	102021049	32.8	2.52	17.43	9.97	3.77	1163.76	162.75	48.61
27	102021051	0	2.34	17.42	9.79	3.71	1270.66	170.73	59.24
28	103011058	55544	55.02	13.61	13.57	5.38	635.59	94.28	36.85
29	103011059	6896.68	13.7	13.60	13.57	5.36	624.64	94.31	34.31
30	103011060	808045.6	603.83	13.33	13.05	5.30	706.05	97.98	42.48
31	103011061	403216.44	302.79	11.81	11.63	5.05	845.93	110.54	49.85
32	103021062	1512508.48	798.85	17.97	13.64	6.16	452.86	62.17	26.52
33	103021063	146245.19	144.38	16.52	14.83	5.83	604.22	72.42	37.90
34	103021064	806049.1	670	16.00	14.61	5.79	635.32	75.83	40.07
35	103021065	1019110.3	589.65	17.30	13.80	6.02	498.82	64.11	31.44
36	103021066	857691.3	516.43	16.46	13.81	5.91	559.58	62.06	32.05
37	103021067	110529.02	97.58	17.38	13.00	5.85	567.59	72.50	38.43
38	103021068	918140.36	624.3	17.45	13.11	5.93	554.49	72.68	36.78
39	103021069	1173424.21	728.76	16.89	13.41	6.08	461.82	52.51	27.53
40	103031071	72762.62	147	13.34	11.91	5.00	793.63	116.60	42.72
41	103031072	83633.07	78.42	15.70	13.54	5.53	686.13	99.69	34.92
42	103031073	159585.51	164.7	14.38	12.02	5.08	726.98	108.30	38.75
43	103031074	1123229.9	746.38	15.58	13.23	5.51	692.10	99.60	40.18
44	103031075	17329.13	18.43	14.65	11.65	4.80	881.05	137.75	38.94
45	103041076	444996.25	445.7	13.65	13.69	5.50	795.70	93.13	43.83
46	103041077	7737.72	18.15	13.28	12.25	5.36	819.83	104.98	48.94
47	103041078	7082.82	22.95	13.61	12.67	5.44	786.65	101.27	48.35
48	103041079	1285683.5	886.01	14.93	13.40	5.68	700.52	90.90	46.32
49	104011080	225.32	6.84	19.46	12.49	4.19	1038.51	142.02	26.65
50	104011081	1091.4	47.26	18.50	13.32	4.43	1119.96	164.24	30.83
51	104011082	37.98	4.41	20.02	10.25	3.61	1416.58	186.70	42.04
52	104021083	69.32	4.46	17.23	12.37	4.31	1481.13	221.96	36.87
53	104021086	149.14	6.84	18.18	11.45	4.10	1577.45	232.90	43.64
54	104021087	2601.92	41.06	14.87	12.15	4.34	1425.16	215.90	36.94
55	104021089	120.4	11.6	18.85	10.75	3.88	1668.39	250.92	42.03
56	104021090	61.88	4.58	19.11	10.96	3.89	1629.82	242.23	40.90
57	104021091	21.96	2.44	18.77	11.00	3.97	1425.62	197.35	40.03
58	105011092	1364297.67	381.48	20.87	14.14	6.36	363.44	52.99	13.45
59	105011093	489333.18	244.84	19.07	13.46	6.16	394.82	56.75	20.13
60	105011094	704765.47	334.62	19.51	14.34	6.11	527.23	90.46	24.03
61	105011095	1431545.54	456.48	19.60	13.66	6.15	461.37	66.40	19.37
62	105011096	1212578.18	351.19	20.41	14.06	6.18	498.07	83.84	20.18
63	105021097	222818.7	45.45	18.45	12.45	5.68	293.63	31.87	16.93
64	105021098	2781032.06	432.14	19.59	13.65	6.04	288.00	37.51	15.23
65	105031099	729378.64	462.28	17.39	14.15	5.74	686.39	119.46	37.15
66	105031100	23780.48	44.37	17.53	14.07	6.03	552.37	82.43	31.86
67	105031101	33695.41	37.43	17.62	14.08	6.04	545.92	82.76	31.64
68	105031102	44166.46	67.54	17.71	14.08	6.05	539.74	84.07	30.96
69	105031103	518213.2	378.54	17.20	13.82	5.92	590.20	87.16	34.74
70	105031104	643617.24	456.8	17.44	14.65	6.03	654.64	111.13	32.85
71	105031105	667652.85	476.06	18.18	13.86	6.08	521.86	80.96	30.10
72	105031106	1183609.88	542.88	16.36	13.68	5.77	629.88	86.07	40.76
73	106011107	243.22	14.46	18.24	12.69	4.57	756.39	108.60	31.09
74	106011109	152.34	6.8	17.36	11.51	4.27	918.99	130.77	36.58
75	106011110	1355.43	37.24	16.94	11.12	4.26	1140.94	167.83	39.93
76	106011111	21.2	2.64	18.41	12.30	4.43	864.42	117.03	33.76
77	106011112	207.78	9.48	18.53	13.03	4.67	708.02	105.37	29.87
78	106011113	1006.15	42.93	17.39	12.48	4.61	780.37	117.76	31.07
79	106021114	46.06	2.3	18.54	12.17	4.38	924.63	124.64	35.16
80	106021116	265.79	14.31	18.31	12.14	4.37	933.55	128.96	34.00
81	106021117	1013.36	11.76	18.39	12.48	4.48	845.08	115.56	32.52
82	106021118	44.98	2.24	18.47	11.30	4.17	1043.21	139.50	41.62
83	106031122	13.82	2.3	18.37	10.96	4.07	1116.27	147.83	48.09
84	106031123	251.08	7.64	18.09	11.62	4.25	1062.22	145.93	39.83
85	106031124	2349.44	2.28	17.96	11.01	3.90	1298.06	165.12	61.60
86	106031125	88.82	4.76	18.04	11.01	4.06	1190.47	156.01	54.84
87	106041126	391.84	4.62	17.63	13.47	4.93	664.78	105.28	28.63
88	106041127	5521.54	44.48	16.82	13.19	4.98	716.41	114.44	31.79
89	106041128	31589.06	46.65	17.30	13.80	5.05	680.81	110.85	31.38
90	106041129	349226.82	352.36	15.75	12.82	4.98	777.09	126.22	35.28
91	107011130	7452.48	2.3	18.07	8.28	3.15	1266.84	182.07	52.00
92	107011131	96.24	4.66	17.64	9.59	3.49	1252.17	179.53	48.64
93	107021135	117.98	2.36	15.63	11.09	4.15	1253.23	176.82	50.53
94	107031136	233.96	2.34	16.80	9.66	3.59	1413.95	203.20	56.61
95	107031140	123.2	6.84	16.27	9.35	3.54	1538.33	218.81	70.78
96	107041144	3852.52	2.26	17.11	9.02	3.47	1370.63	198.91	57.82
97	107041147	3254.8	2.3	16.67	9.67	3.80	1327.18	187.44	61.11
98	108011151	235.38	9.78	17.12	11.09	4.02	1227.51	172.02	50.86
99	108011153	148.73	7.31	17.74	11.36	3.90	1295.27	173.98	56.87
100	108021155	61.04	6.8	18.82	10.99	3.82	1261.37	165.28	32.08
101	108021156	924.16	54.22	17.73	12.21	4.19	1223.46	173.77	29.16
102	108021157	56.76	2.46	19.31	10.70	3.76	1434.60	197.06	40.75
103	108021159	436.72	13.68	18.26	12.13	4.16	1390.26	200.06	36.54
104	108041162	0	2.26	17.62	10.30	3.77	1442.78	204.74	42.06
105	108041165	4521.43	48.08	16.21	11.26	4.04	1442.57	208.40	35.04
106	108041166	80.66	9	18.13	10.41	3.78	1359.63	190.36	37.32
107	108051167	310.17	20.86	15.41	11.27	4.37	1106.21	168.04	38.46
108	108051168	56.13	9.36	18.16	10.80	3.77	1310.12	185.43	41.48
109	108051169	10.5	2.62	18.30	11.36	3.92	1254.33	182.93	38.39
110	108051170	1362.76	48.3	17.30	11.57	4.06	1236.75	183.17	36.40
111	109011172	6918.32	9.12	15.59	12.81	5.63	750.36	86.59	43.23
112	109011174	2249.52	7.5	15.48	13.43	5.74	712.10	79.88	40.94
113	109011175	1283447.8	848.03	14.75	12.67	5.68	731.80	80.66	43.04
114	109011176	2.36	2.36	15.31	13.00	5.71	736.89	84.15	43.09
115	109021177	977083.83	214.78	17.64	13.76	5.76	351.56	36.27	19.34
116	109021178	127529.12	53.61	17.93	13.76	5.35	280.74	29.98	13.60
117	109021179	1304995.56	322.5	18.22	14.06	5.65	304.96	32.67	17.49
118	109031180	144899.56	97.82	15.81	14.25	5.78	554.61	57.48	28.10
119	109031181	649432.98	438	16.44	14.00	5.93	489.51	50.10	27.52
120	109031182	160338.88	179.54	16.44	13.59	5.59	389.97	36.35	19.87
121	109031183	1608994.78	833.56	16.54	13.66	5.56	383.24	37.45	19.53
122	109031184	45950.01	41.92	15.69	13.59	5.43	400.81	40.20	19.34
123	109031185	593802.94	447.28	16.75	13.93	5.85	415.55	39.91	22.24
124	110011186	366431.33	148.36	13.71	12.38	4.84	786.34	132.22	37.25
125	110011187	921810.82	560.62	13.61	12.31	4.80	866.63	140.31	35.09
126	110011188	853496.19	387.05	13.97	13.28	5.08	806.08	131.72	35.18
127	110011189	955134.18	432.14	13.49	12.26	4.69	1011.81	164.27	40.47
128	110021190	548446.26	473.19	14.91	13.03	4.73	939.29	142.82	37.24
129	110021191	40643.88	50.72	16.67	14.81	5.42	810.20	123.58	38.90
130	110021192	724086.35	562.38	17.43	15.07	5.58	743.72	115.82	31.62
131	110021193	421182.44	422.59	17.63	15.43	5.83	759.11	120.52	34.94
132	110021194	193059.09	213.1	16.10	12.46	4.56	983.69	141.05	35.35
133	110031195	32188.58	23.02	20.07	14.19	5.96	599.15	92.49	25.60
134	110031196	397606.96	186.14	20.01	14.40	5.93	613.16	94.35	25.51
135	110031197	8357.67	36.88	19.58	14.43	5.84	658.81	114.34	27.86
136	110031198	206122.48	233.84	19.35	14.44	5.91	649.41	112.79	29.80
137	110041199	6230.47	16.69	18.42	13.53	5.53	623.08	111.90	27.18
138	110041200	145926.66	256.52	18.24	14.01	5.61	631.13	111.75	27.83
139	110041201	236461.4	224.92	16.85	13.90	5.48	703.93	124.97	34.97
140	110041202	9871.08	16.14	16.91	14.08	5.45	708.65	119.20	34.09
141	110041203	9959.46	25.77	16.68	14.10	5.45	719.95	119.21	34.08
142	110041204	1081.61	6.76	17.22	13.93	5.49	684.97	117.00	34.24
143	110041205	647057.88	783.98	16.17	14.28	5.54	745.75	122.92	35.57
144	111021218	11.52	2.3	18.18	10.09	3.82	1125.02	155.15	44.58
145	111031223	218.33	6.92	18.52	10.91	4.08	1064.66	141.47	42.65
146	112011237	1536.84	13.4	19.92	9.40	3.49	1817.40	255.59	41.66
147	112011238	318.11	11.3	19.78	9.29	3.45	1892.46	251.48	45.44
148	112011239	28.37	4.35	20.32	9.35	3.42	1895.23	253.26	46.05
149	112011241	0	2.32	20.72	10.59	3.72	1493.71	203.09	38.52
150	112011243	341.06	18	19.77	10.06	3.58	1871.68	269.33	44.20
151	112021244	112.96	6.92	20.09	13.00	4.19	1148.04	168.09	25.53
152	112021245	13549.7	41.44	19.35	12.88	4.25	1135.04	168.33	26.76
153	112021247	342.72	29.44	18.29	11.70	4.06	1323.18	201.07	32.87
154	112021248	22.28	2.22	19.97	11.36	3.92	1481.87	195.03	33.93
155	112021249	5134.01	42.88	19.70	11.20	3.87	1519.20	209.50	35.82
156	112031252	427.4	17.93	19.56	11.08	3.80	1716.11	266.04	37.98
157	112031253	43.46	6.46	20.09	10.04	3.56	1891.51	275.85	43.30
158	112031254	756.96	2.36	19.74	10.13	3.59	1911.08	302.53	41.95
159	112031255	24.8	2.26	20.08	9.93	3.55	1887.56	288.80	42.70
160	113011256	20670.4	13.96	17.04	13.31	5.84	436.51	46.32	28.79
161	113011257	1191446.46	680.37	17.40	13.31	5.95	426.96	46.24	26.54
162	113011258	35272.19	54.9	17.10	13.02	5.90	440.58	42.88	28.99
163	113011259	687018.33	450.37	16.90	13.05	5.98	448.87	43.56	27.05
164	113021260	261266.37	230.43	11.23	12.14	5.27	1125.50	134.50	61.45
165	113021261	9303.48	16.14	15.02	14.38	5.79	838.19	92.89	42.19
166	113021262	243979.06	279.21	11.37	12.52	5.38	1134.20	125.34	63.06
167	113031263	668434.41	277.04	15.74	13.95	6.05	604.46	64.00	35.29
168	113031264	578344.93	302.4	15.40	13.82	5.92	707.80	73.42	42.59
169	113031265	629260.54	339.03	16.05	13.76	6.10	572.34	56.76	33.98
170	113031266	743003.46	516.88	16.39	13.49	6.09	506.88	54.45	29.58
171	113031267	3348.53	12	16.20	12.91	6.00	575.30	57.29	33.48
172	113031268	8160.72	11.92	16.35	12.97	6.05	559.78	53.76	32.46
173	113031269	16512.06	21.89	16.12	12.61	5.97	584.47	59.21	33.42
174	113031270	101275.44	87.68	16.21	12.52	5.98	573.52	57.63	32.70
175	113031271	1720500.44	1395.33	15.99	12.92	5.92	577.64	58.66	34.96
176	114011272	3899.73	20.3	16.41	10.29	3.77	1391.07	194.38	66.43
177	114011274	47.56	2.38	17.64	9.14	3.32	1195.08	147.06	55.90
178	114011275	83.52	4.58	15.70	11.12	4.14	1069.68	137.18	50.68
179	114011277	216.96	4.58	17.04	10.46	3.72	1190.11	158.35	57.02
180	114011278	212.28	7.04	17.47	9.94	3.52	1124.85	142.51	52.22
181	114011281	429.77	11.46	17.00	9.95	3.63	1172.53	146.13	58.54
182	114011282	183.24	4.56	16.95	9.30	3.47	1271.49	161.06	54.68
183	114011283	608.61	20.31	16.57	9.86	3.64	1197.35	150.62	48.55
184	114021284	111	7.01	13.67	11.78	4.58	995.66	131.68	47.26
185	114021285	2835.93	6.98	14.60	11.93	4.52	964.04	127.53	40.61
186	114021286	103.5	2.36	14.07	11.62	4.48	1036.44	139.44	45.93
187	114021287	807.4	8.93	13.74	11.95	4.63	979.93	129.97	45.76
188	114021288	230.24	20.86	14.14	10.98	4.27	1375.55	201.22	59.79
189	114021289	6427.32	53.47	14.21	12.44	4.77	862.92	112.16	39.46
190	115021298	152.95	7.2	17.50	11.11	4.11	1128.18	154.57	47.32
191	115031299	1767.08	9.28	16.84	12.03	4.52	945.53	143.09	38.83
192	115031300	79.5	14.9	17.87	12.81	4.63	891.11	135.38	37.68
193	115041301	13.78	2.3	17.99	12.48	4.49	900.94	134.28	39.25
194	115041302	5.7	2.86	17.98	12.14	4.37	930.07	137.23	40.80
195	116021312	198.04	12.18	18.00	12.50	4.47	877.28	132.42	36.77
196	117031336	36.18	2.42	18.24	9.31	3.71	1210.16	151.81	62.55
197	118011346	2614.86	4.88	18.36	9.09	3.60	1291.69	164.13	68.29
198	119021365	5560.4	2.28	18.06	10.24	3.96	1057.17	135.38	50.38
199	120031396	7257.86	2.4	18.01	10.63	4.02	1070.79	142.34	50.94
200	122021420	4300	2	18.27	9.66	3.70	1300.12	165.90	64.82
201	122021421	9061.29	4.66	18.12	10.08	3.82	1257.88	163.67	60.56
202	123011433	9.4	2.36	17.36	13.11	4.62	762.23	104.02	31.67
203	123011434	239.62	6.54	17.39	12.85	4.56	778.38	106.78	31.97
204	123021436	556.82	2.22	17.05	11.52	4.24	939.64	126.90	44.21
205	123021438	196.5	4.3	17.40	12.18	4.41	834.03	115.92	34.60
206	123031445	205.73	12.67	15.92	12.47	4.52	945.91	129.01	37.89
207	123031446	2382.78	9.54	16.77	12.08	4.36	946.13	128.21	42.22
208	123031447	402.14	21.28	15.69	12.85	4.69	873.80	118.55	35.10
209	123031448	2039.29	27.98	15.88	12.96	4.75	881.29	123.02	34.29
210	124011449	3514.12	11.71	14.01	11.65	4.88	942.70	137.67	39.16
211	124011451	692.42	2.28	14.58	11.35	4.66	1121.94	173.14	43.31
212	124021456	1013.38	2.3	15.68	13.01	4.90	843.92	121.36	33.05
213	124031458	8.96	2.24	17.74	12.93	4.59	877.90	136.34	34.76
214	124031463	92.24	4.64	17.69	12.81	4.51	814.62	123.30	30.55
215	124031465	97.36	4.96	17.23	13.25	4.69	811.01	120.09	29.36
216	124041466	37.08	2.86	17.97	13.11	4.70	862.42	134.33	35.65
217	124041467	17.12	2.86	18.02	12.82	4.59	860.72	132.14	35.63
218	124041468	235.22	2.36	17.97	12.96	4.62	853.91	132.61	34.74
219	125041492	1859.08	2.26	17.98	11.35	4.18	994.40	139.51	45.58
220	127011505	122.4	9.24	17.60	12.75	4.51	797.07	116.87	30.24
221	127011506	326.7	9.18	17.44	12.66	4.51	797.35	112.85	31.11
222	127021518	57.03	7.22	17.73	12.16	4.35	849.20	124.45	33.48
223	201011001	5638.55	20.96	12.82	11.22	4.41	651.46	65.65	35.22
224	201011002	4540.44	2.28	12.77	11.01	4.38	668.21	67.09	36.55
225	201011003	7385.16	11.34	12.47	10.67	4.37	722.19	74.13	38.62
226	201011005	7965.34	11.45	12.56	10.51	4.21	705.24	71.65	40.35
227	201011006	6548.04	6.7	12.78	11.05	4.36	659.94	66.14	36.65
228	201011007	12915.7	16.22	12.80	11.02	4.32	659.81	65.73	37.62
229	201011008	8635.3	20.88	12.88	11.44	4.51	645.37	65.68	33.64
230	201021009	182887.32	128.96	13.00	11.42	4.25	673.95	74.11	38.93
231	201021010	430709.2	367.09	13.02	11.95	4.69	656.77	71.05	32.25
232	201021011	120292.12	178.61	12.23	11.50	4.65	810.67	95.56	36.52
233	201021012	225333.16	253.34	12.17	10.43	4.24	780.68	84.55	42.36
234	201031013	656181.6	419.46	14.15	12.41	4.81	546.23	61.41	25.36
235	201031014	739108.69	368.44	13.01	11.34	4.40	640.20	65.44	34.34
236	201031015	363989.85	148.48	13.30	11.10	4.15	631.09	64.49	37.15
237	201031016	1790.2	7.37	14.61	12.88	4.96	509.03	54.06	23.45
238	201031017	411659.32	279.26	14.35	13.01	4.92	530.45	56.55	24.73
239	202011020	2386.28	6.84	14.92	12.57	5.12	527.52	56.20	24.08
240	202011021	8611.76	2.26	14.50	12.50	5.11	574.59	62.40	25.58
241	202011023	3011.38	4.44	15.03	12.76	5.12	503.02	52.99	23.63
242	202011025	520.94	6.94	15.23	12.73	5.16	486.61	50.76	22.90
243	202021026	154328.38	93.58	14.67	12.86	5.07	539.16	57.41	24.49
244	202021027	19835.62	15.88	13.75	13.14	4.98	633.92	70.99	28.19
245	202021028	426834.58	289.93	13.68	12.72	4.96	636.44	71.18	28.46
246	202021029	186534.32	118.92	14.34	12.68	5.03	582.19	63.83	26.88
247	202021030	165436.52	160.06	12.50	12.06	4.77	767.18	94.43	35.53
248	202021031	16217.38	49.45	11.70	10.96	4.50	869.92	96.88	44.57
249	202031032	341108.58	303.04	15.34	12.85	5.18	470.13	48.52	22.64
250	202031033	1345264.38	864.32	15.89	13.20	5.23	416.26	42.15	22.28
251	203011034	57421.48	77.14	14.56	10.54	3.77	527.94	58.00	30.89
252	203011035	734044.12	393.12	13.64	10.95	3.98	595.87	64.44	35.39
253	203011036	310978.94	326.94	14.04	9.58	3.54	681.41	71.55	36.93
254	203021038	3772.17	11.54	14.81	10.39	3.78	510.55	54.90	31.71
255	203021040	5955.92	4.84	14.70	10.20	3.73	528.05	56.64	32.23
256	203021041	19031.71	11.19	14.74	9.43	3.55	560.64	56.80	35.39
257	203021042	7086.51	9.09	14.63	9.67	3.60	559.76	58.23	34.45
258	203021043	103456.82	93.41	14.58	11.10	3.94	511.47	57.66	31.51
259	203021044	2221.32	6.9	14.84	9.12	3.54	551.67	52.40	36.59
260	203021047	4485.38	4.68	14.86	10.21	3.73	512.13	54.48	31.86
261	203031048	1686.16	18.76	14.69	8.72	3.52	581.41	54.54	35.80
262	203031049	19529.38	14.24	12.76	8.38	3.42	974.49	103.21	50.43
263	203031050	15062.2	34.14	14.79	8.65	3.45	579.57	55.01	36.96
264	203031051	15500.44	22.8	14.68	8.66	3.55	596.26	55.13	35.39
265	203031052	11642	11.59	14.71	8.23	3.42	603.26	56.98	35.36
266	203031053	12500.01	36.66	14.63	8.94	3.42	610.18	60.30	38.12
267	204011054	42802.62	100.28	13.11	11.75	4.76	980.95	121.99	42.50
268	204011055	662179.72	526.66	14.53	12.77	5.22	682.90	78.07	34.28
269	204011056	82883.36	86.36	13.65	11.80	4.71	684.20	73.34	36.83
270	204011057	324642.14	233.31	12.35	11.89	4.86	1034.54	127.82	49.42
271	204011058	280021.94	189.1	14.41	12.67	5.11	641.67	70.45	31.48
272	204011059	13939.37	15.58	14.22	12.62	5.03	652.48	73.20	32.52
273	204011060	259892.7	174.42	13.66	12.29	4.88	661.07	78.46	31.92
274	204011062	126862.94	128.68	13.32	11.44	4.68	888.97	102.31	41.77
