	ASGS	nosheep	nobusi	T1	T2	T4	P1	P2	P3
418	217021432	96045.6	11.34	14.38	9.55	3.21	760.92	88.72	27.63
419	217021433	1346.41	6.83	14.43	9.53	3.25	775.36	89.90	28.91
420	301011002	95.74	2.4	20.69	9.90	3.72	1223.62	177.54	35.15
421	301011006	2.44	2.44	20.74	9.56	3.67	1299.17	185.34	37.41
422	301021009	212.04	6.76	20.77	9.53	3.63	1327.51	182.01	40.07
423	301021012	2.44	2.44	20.52	9.61	3.67	1311.18	184.58	38.83
424	303031061	430	2	20.48	10.37	3.76	1140.70	169.66	30.77
425	306031160	0	2.32	23.70	9.21	2.89	3526.24	651.36	83.69
426	306031161	51.58	4.94	23.98	9.93	3.01	2684.90	531.10	54.52
427	306051166	732.84	4.84	21.22	10.44	2.92	1353.06	294.92	20.51
428	306051167	23.64	4.74	21.56	11.37	3.34	1025.12	221.70	15.82
429	306051170	51.56	4.72	22.22	10.58	2.97	1357.02	317.60	20.99
430	307011171	942967.66	246.38	21.13	14.23	6.02	501.12	82.40	19.00
431	307011172	9236.4	52.8	19.98	14.08	5.10	661.37	91.85	24.74
432	307011173	18658.52	44.47	20.05	14.25	5.68	626.25	95.21	27.72
433	307011174	426021.99	285.48	19.90	14.55	5.76	604.70	92.37	25.27
434	307011175	4410.54	42.32	20.39	14.41	5.44	634.43	91.39	24.03
435	307011176	9232.68	9.49	20.85	15.05	5.82	564.35	90.88	17.37
436	307011177	391575.92	269.54	20.32	15.24	5.85	572.64	91.04	19.98
437	307011178	150648.8	195.96	20.03	14.34	5.57	605.63	87.25	23.82
438	307021179	18935.24	77	18.38	12.78	4.59	848.45	126.02	27.09
439	307021180	4773.99	65.35	19.01	14.05	5.12	658.00	92.05	22.94
440	307021181	46565.84	46.76	19.11	14.40	5.42	630.61	87.89	25.87
441	307021182	12202.68	56.3	18.62	13.85	5.02	675.87	92.33	25.52
442	307021183	18496.06	93.98	19.15	13.74	5.10	673.36	97.56	25.14
443	307031184	9489.74	100.49	18.17	13.74	4.92	705.36	94.44	25.35
444	307031185	7664.38	56.9	17.12	12.91	4.66	824.92	112.26	26.69
445	307031186	50683.84	125.52	17.40	13.39	4.90	714.23	95.31	28.58
446	307031187	11558.98	13.96	15.40	12.19	4.79	805.14	105.19	36.55
447	307031188	126966.21	99.38	16.23	13.05	4.97	766.54	103.07	33.57
448	307031189	7513.53	41.52	17.59	13.48	4.85	701.13	93.70	26.19
449	308011190	59.56	11.96	22.13	14.25	4.80	673.72	107.90	22.57
450	308011191	3832.22	19.06	21.63	15.03	5.19	624.23	105.80	18.88
451	308021193	106.36	7.07	21.92	9.07	3.50	1063.00	185.78	31.16
