	ASGS	T1	T2	T4	P1	P2	P3
574	405041128	16.81	9.60	3.63	404.01	65.11	13.82
575	406011129	17.69	12.77	3.87	263.85	39.64	8.69
576	406011130	16.23	9.96	3.33	464.92	77.72	14.40
577	406011131	17.41	12.77	4.45	311.55	39.30	15.28
578	406011132	17.44	13.26	4.25	335.90	53.33	13.09
579	406011133	16.29	8.96	3.06	495.78	79.80	14.33
580	406011134	17.80	11.80	3.76	304.23	48.02	10.16
581	406011135	19.65	15.09	4.93	198.35	25.55	9.21
582	406011136	18.38	11.77	4.50	271.12	28.77	16.84
583	406021138	20.60	16.20	6.08	255.74	45.31	9.68
584	406021139	21.22	14.45	5.96	200.90	32.74	9.98
585	406021140	17.97	13.68	5.22	273.02	30.49	15.80
586	406021141	21.25	14.92	6.17	188.21	34.71	7.14
587	406021142	19.49	12.37	5.04	264.85	30.25	16.44
588	407011144	16.00	9.96	3.41	490.69	69.65	21.33
589	407011145	15.26	7.83	2.98	589.51	97.52	16.47
590	407011146	15.66	11.02	3.85	540.42	73.64	23.12
591	407011147	15.53	10.67	3.78	571.63	81.73	23.92
592	407011148	15.67	9.14	3.30	592.64	89.56	21.74
593	407011149	15.23	8.99	3.48	664.54	105.09	24.26
594	407021150	14.46	9.28	3.11	713.29	104.62	18.98
595	407021151	15.44	11.25	3.49	526.30	78.66	15.12
596	407021152	14.70	9.85	3.32	696.62	105.97	16.59
597	407021153	14.40	9.73	3.23	707.99	100.90	19.97
598	407021154	14.98	12.81	3.99	514.64	70.20	16.24
599	407021155	14.95	12.04	3.82	565.69	80.36	16.39
600	407021156	14.51	11.67	3.77	631.46	87.56	17.57
601	407021157	15.46	13.05	4.13	453.25	59.28	15.71
602	407021158	14.62	9.81	3.29	695.28	104.60	16.95
603	407031159	17.84	14.10	4.82	266.10	32.46	12.15
604	407031161	16.34	14.21	4.58	357.93	41.63	16.66
605	407031162	17.28	14.55	4.88	273.20	34.51	12.44
606	407031163	17.08	14.60	4.92	283.67	34.72	13.30
607	407031164	16.24	13.20	4.42	346.91	41.28	17.95
608	407031165	16.53	12.53	4.08	332.16	37.59	18.27
609	407031166	16.45	12.64	4.10	340.84	38.68	18.21
610	407031167	18.15	13.84	5.01	250.51	31.65	11.60
611	407031168	17.97	13.77	5.01	262.98	32.60	12.30
612	407031169	16.23	11.86	3.75	405.27	51.81	16.91
613	407031170	17.14	13.86	4.71	295.66	34.68	15.51
614	501011001	16.91	9.37	3.23	926.06	178.51	13.14
615	501011002	17.47	10.76	3.60	769.30	154.48	10.11
616	501011003	16.94	11.18	3.73	791.14	155.58	11.75
617	501011004	17.34	8.47	2.96	950.94	185.18	12.76
618	501021007	17.23	11.88	4.04	745.67	143.51	11.65
619	501021009	16.48	13.24	4.78	741.22	131.80	10.74
620	501021010	16.93	12.32	4.33	816.75	152.73	13.18
621	501021013	17.47	11.31	3.93	734.87	142.67	10.99
622	501021014	17.20	11.98	4.39	839.42	158.06	10.79
623	501021016	17.44	11.60	4.39	864.96	168.27	10.09
624	501031017	15.71	12.32	4.28	645.85	110.96	14.05
625	501031018	15.81	12.91	4.48	781.01	142.33	13.14
626	501031019	15.80	11.02	3.77	821.23	141.75	16.10
627	501031020	16.20	10.25	3.43	942.90	166.06	16.47
628	502011021	18.60	10.01	3.82	771.58	149.68	6.55
629	502011029	18.45	11.18	4.24	801.61	156.92	7.89
630	503011036	19.13	9.94	3.96	684.89	140.17	6.84
631	503021043	19.09	10.42	4.11	706.99	144.43	7.12
632	504021049	17.71	12.66	5.04	677.73	134.20	8.77
633	504021050	18.41	12.08	4.72	775.23	156.02	9.75
634	504021051	18.59	12.07	4.66	763.27	153.81	9.53
635	504031057	19.17	12.34	4.54	678.09	136.26	7.62
636	504031058	18.78	12.63	4.73	659.93	130.64	8.23
637	504031059	19.10	12.61	4.62	661.83	130.86	7.86
638	504031060	18.11	12.48	4.89	705.78	141.24	9.33
639	504031066	19.18	12.53	4.59	696.24	141.02	8.11
640	504031068	19.01	12.99	4.75	658.13	129.73	8.22
641	505021096	19.14	10.33	4.06	695.44	141.90	6.79
642	505031107	19.08	11.39	4.30	671.14	135.63	7.59
643	505031109	19.12	11.36	4.25	638.72	128.70	7.29
644	506011114	18.32	11.59	4.60	833.12	170.19	10.19
645	506011116	17.58	11.48	4.73	906.12	183.57	11.49
646	506041136	18.20	11.50	4.61	845.04	171.39	10.23
647	506051141	17.85	11.72	4.76	857.57	174.06	10.37
648	506061143	18.53	11.57	4.49	791.04	162.51	9.82
649	506061144	17.59	11.90	4.73	877.02	178.88	11.95
650	507011148	18.85	11.04	4.29	742.47	154.74	8.43
651	507031172	18.82	10.61	4.14	725.67	150.19	7.56
652	507051185	18.86	10.83	4.16	741.01	149.36	8.16
653	508011194	17.50	9.81	3.25	589.13	91.03	20.75
654	508011195	17.40	12.32	4.00	393.94	46.59	20.07
655	508021196	23.71	10.14	4.18	238.48	46.49	2.65
656	508021197	24.41	13.68	5.62	222.67	39.50	3.57
657	508031202	18.55	13.42	4.46	262.77	32.52	12.29
658	508041206	28.14	14.43	3.76	715.27	217.61	1.18
659	508041207	27.41	14.85	5.11	405.84	104.76	1.32
660	508041209	27.58	13.56	3.85	550.18	171.74	1.45
661	508051210	20.68	11.92	3.90	405.21	92.05	3.96
662	508051211	20.60	12.10	4.02	410.44	91.73	4.02
663	508051212	20.47	12.66	4.27	404.05	90.99	3.94
664	508051213	20.65	11.96	3.94	414.44	92.99	4.05
665	508051214	20.84	13.24	4.66	420.52	90.10	5.18
666	508051215	23.18	14.79	6.54	232.56	39.01	4.89
